병원명,소재지,평가등급,종별,lat,lon
서상원한의원,"강원특별자치도 원주시 서원대로 408, 광장빌딩 202호 (단구동)",일반병원,한의원,37.3299803953294,127.950079338744
서울내과의원,"강원특별자치도 원주시 장미공원길 43-2, (단계동)",⭐ 1등급 우수병원,의원,37.3470962354382,127.930350640126
서울니어치과의원,"강원특별자치도 원주시 지정면 신지정로 190, 3층 301~305호",일반병원,치과의원,37.3743119903303,127.875864511013
서울더바른치과의원,"강원특별자치도 원주시 문막읍 왕건로 22, 3층 301호",일반병원,치과의원,37.3220485882732,127.831137300732
서울매일치과병원,"강원특별자치도 원주시 만대공원길 59-0,  4~6층 (무실동)",일반병원,치과병원,37.3394396435042,127.924696444815
서울명문치과의원,"강원특별자치도 원주시 시청로 528, 202,203호 (관설동)",일반병원,치과의원,37.3422,127.9201
서울성모정신건강의학과의원,"강원특별자치도 원주시 만대공원길 59, 3층 303호 (무실동)",일반병원,의원,37.3394396435042,127.924696444815
서울수려한치과의원,"강원특별자치도 원주시 능라동길 61, 207호 (무실동)",일반병원,치과의원,37.3341493273774,127.931233204873
서울수치과의원,"강원특별자치도 원주시 혁신로 53, 5층 504호 (반곡동)",일반병원,치과의원,37.323498978735,127.979991799634
서울에이스치과의원,"강원특별자치도 원주시 태장둔치길 55, 2층 (태장동)",일반병원,치과의원,37.3839794202012,127.953565212627
서울열린치과의원,"강원특별자치도 원주시 시청로 96, 영신프라자 3층 303호 (무실동)",일반병원,치과의원,37.336183500076,127.928483818728
서울외과의원,"강원특별자치도 원주시 원일로 169, (학성동)",⭐ 1등급 우수병원,의원,37.3531251463593,127.945905705412
서울윤치과의원,"강원특별자치도 원주시 단구로 360, 2층 (단구동)",일반병원,치과의원,37.3239980324911,127.957578260618
서울이내과의원,"강원특별자치도 원주시 서원대로 410, 401~403호 (단구동, 한솔프라자)",⭐ 1등급 우수병원,의원,37.3422,127.9201
서울인성치과의원,"강원특별자치도 원주시 흥업면 남원로 57, 3, 4층",일반병원,치과의원,37.3422,127.9201
서울탑마취통증의학과의원,"강원특별자치도 원주시 중앙시장길 32, 1,2층 일부호 (중앙동)",일반병원,의원,37.3505774216068,127.950331859003
서울토론토치과의원,"강원특별자치도 원주시 혁신로 262, 2층, 3층 (반곡동)",일반병원,치과의원,37.3315459873882,127.991107729734
서울튼튼신경외과의원,"강원특별자치도 원주시 중앙시장길 11, 2층 (중앙동, 자유시장 1블럭 1호)",⭐ 1등급 우수병원,의원,37.3502279348979,127.948624502039
서울플란트치과의원,"강원특별자치도 원주시 지정면 신지정로 266, 401호",일반병원,치과의원,37.3785374579876,127.870584943717
서울황내과의원,"강원특별자치도 원주시 능라동길 59, 603,604호 (무실동)",⭐ 1등급 우수병원,의원,37.3422,127.9201
서이비인후과의원,"강원특별자치도 원주시 남원로 671, 3층 (명륜동)",⭐ 1등급 우수병원,의원,37.3424313657953,127.954446009061
선율당한의원,"강원특별자치도 원주시 치악로 1507, (관설동)",일반병원,한의원,37.3191772313955,127.966333609519
세명치과의원,"강원특별자치도 원주시 행구로 67, 2층 (봉산동)",일반병원,치과의원,37.3418920049226,127.96466805307
세브란스치과의원,"강원특별자치도 원주시 원일로115번길 13, (일산동)",일반병원,치과의원,37.3493004642127,127.947509747085
세진한의원,"강원특별자치도 원주시 남원로 592, (명륜동)",일반병원,한의원,37.3362592906405,127.95030161663
세한치과의원,"강원특별자치도 원주시 문막읍 문막시장1길 27, 3층",일반병원,치과의원,37.3070005765194,127.816980542546
센텀플란트치과의원,"강원특별자치도 원주시 능라동길 70, 2층 203~206호 (무실동)",일반병원,치과의원,37.3337998324689,127.930202082473
센트럴병원,"강원특별자치도 원주시 백간길 95, (단계동)",⭐ 1등급 우수병원,병원,37.3522276721417,127.934136434301
셀레스의원,"강원특별자치도 원주시 봉화로 16, 3층 (단계동)",일반병원,의원,37.345982766221,127.928816302539
소나무한의원,"강원특별자치도 원주시 평원로 58, 2층 (평원동)",일반병원,한의원,37.3511525587089,127.951325521679
소망의원,"강원특별자치도 원주시 중앙로 136, 2층 (중앙동)",⭐ 1등급 우수병원,의원,37.3510094870323,127.949631582035
소초면보건지소,"강원특별자치도 원주시 소초면 치악로 2790, (소초면)",일반병원,보건지소,37.4178781982841,128.002770146827
소초함께의원,"강원특별자치도 원주시 소초면 송황유사길 3, 1층",⭐ 1등급 우수병원,의원,37.3816187698726,127.974186979081
속시원한내과의원,"강원특별자치도 원주시 로아노크로 74, 501호, 502호 (무실동)",⭐ 1등급 우수병원,의원,37.3389516353759,127.923454144867
손경수내과의원,"강원특별자치도 원주시 남원로 665, 1층일부,2,3,4층 (명륜동)",⭐ 1등급 우수병원,의원,37.3420658602763,127.954073836369
손안과의원,"강원특별자치도 원주시 서원대로 170, 재영빌딩 6층 (단계동)",⭐ 1등급 우수병원,의원,37.3439198006648,127.930277592416
송광선내과의원,"강원특별자치도 원주시 문막읍 문막시장1길 14, (문막읍)",⭐ 1등급 우수병원,의원,37.308089255795,127.817204157734
송내과의원,"강원특별자치도 원주시 원일로115번길 5, 4층 (일산동, 홍제빌딩)",⭐ 1등급 우수병원,의원,37.3495693837124,127.948008015725
수연한의원,"강원특별자치도 원주시 모란1길 75, 201호 (우산동)",일반병원,한의원,37.3617350938683,127.932558175596
